activities,amountRaised,campaignTitle,currencyType,goal,mediaCount,numberContributors,percent_complete,period,timeLeft,updates
5,210,Help needed for monthly food for my rescued dogs,U.S. Dollar,of $210 goal,(2),5,100%,"days left
					,
				",0,0
19,215,Please help Therese's ten rescue cats.,Pound Sterling,of £1.3k goal,(11),19,17%,"Weeks running
					,
				",72,7
4,160,Get Basil to the vet!,U.S. Dollar,of $400 goal,(19),4,40%,"Weeks running
					,
				",50,4
9,548,A Gift For Aurora - Your Donation Will Help Her Find Her Forever Home.,U.S. Dollar,of $2.5k goal,(4),8,22%,"Weeks running
					,
				",54,2
3,280,Help me save Doli,U.S. Dollar,of $10k goal,(2),3,3%,"Weeks running
					,
				",52,1
9,720,Winter food for Greek Strays / Cibo e medicine per  cani e gatti randagi,Euro,of €1.5k goal,(15),9,48%,"Weeks running
					,
				",56,3
3,120,"Dragan Cekic of Bor, Serbia needs your help to feed his 75 dogs & streets dogs",Euro,of €1k goal,(7),3,12%,"Weeks running
					,
				",48,4
10,458,Please help Mau,U.S. Dollar,of $2.5k goal,(5),9,18%,"days left
					,
				",0,4
22,"1,000",Help us help Donna,Euro,of €1k goal,(7),22,100%,"Weeks running
					,
				",72,1
11,445,Help Melisa help the critters,U.S. Dollar,of $1.2k goal,(1),11,37%,"Weeks running
					,
				",49,0
21,"1,000",BLESS EVERYONE WHO DONATED! ~ WE HAVE REACHED OUR GOAL! ~ Eddee and I LOVE YOU!,U.S. Dollar,of $1k goal,(18),20,100%,"days left
					,
				",0,11
7,430,Please help Zizi to find her forever home in Canada,U.S. Dollar,of $430 goal,(4),7,100%,"days left
					,
				",0,2
1,100,Help us pay our Extra Vet Bills,U.S. Dollar,of $5k goal,(1),1,2%,"Years running
					,
				",4,0
18,312,FIV+ and FeLV+ cats deserve to live too!,U.S. Dollar,of $4.4k goal,(48),18,7%,"Weeks running
					,
				",83,30
38,"2,441",Help Fund Walt Whitman the Senior Foster Hound's Recovery from Abuse + Neglect!,U.S. Dollar,of $3k goal,(14),37,81%,"days left
					,
				",0,7
3,155,Help Prince overcome his tooth decay and gums disease ❤️,U.S. Dollar,of $800 goal,(1),3,19%,"Weeks running
					,
				",59,0
6,140,Valentino - disabled and mistreated Pug dog,U.S. Dollar,of $300 goal,(1),5,47%,"Years running
					,
				",6,0
17,615,PENSION COST AND FOOD FOR RESCUED DOGS,Euro,of €800 goal,(1),17,77%,"days left
					,
				",0,0
8,380,"Our Beloved Cat Senpai Requires Immediate, Emergency Veterinary Care",U.S. Dollar,of $1.6k goal,(17),8,24%,"Weeks running
					,
				",57,4
19,"1,800",#Hips4Hugo,U.S. Dollar,of $16k goal,(14),18,11%,"Weeks running
					,
				",59,1
7,225,Stray cats/kittens need your help !!,Euro,of €300 goal,(8),7,75%,"Weeks running
					,
				",61,4
12,430,Please help Rita to travel to Canada to find her forever home!,U.S. Dollar,of $430 goal,(3),12,100%,"days left
					,
				",0,1
3,170,Hurley back to he's family,Euro,of €400 goal,(7),3,43%,"Weeks running
					,
				",45,2
5,700,Spay & Neuter uncared animals in Cambodia,U.S. Dollar,of $1k goal,(3),5,70%,"Weeks running
					,
				",54,2
7,180,"Started from the bottom, now I'm here. Lily's Tale.",U.S. Dollar,of $500 goal,(10),6,36%,"Weeks running
					,
				",46,6
626,"21,544",PLEASE help me rescue my fellow frenchies in need!,U.S. Dollar,of $20k goal,(1),615,108%,"Years running
					,
				",4,0
21,330,Saving Zoe & in memory of Sasha,Euro,of €329 goal,(12),21,100%,"Weeks running
					,
				",55,4
54,"3,216",Please help feed the horses through the Holidays,U.S. Dollar,of $4.5k goal,(3),54,71%,"Weeks running
					,
				",50,1
12,276,Arnie-Cat Needs Your Help!,Euro,of €300 goal,(14),12,92%,"Weeks running
					,
				",45,5
3,140,Adoption for Princess Bella!,U.S. Dollar,of $275 goal,(1),3,51%,"Weeks running
					,
				",41,1
15,"1,056",Help rescued street cats and dogs of Turkey!,Australian Dollar,of $5k goal,(14),15,21%,"Weeks running
					,
				",80,0
12,173,Can you please help us feed 70+ rescued Egyptian street dogs?,Pound Sterling,of £170 goal,(1),12,102%,"Weeks running
					,
				",44,0
15,225,Please Help Hercules the one eyed cat fly to his forever home in the UK,Euro,of €500 goal,(8),11,45%,"days left
					,
				",0,2
9,250,Tham Dai Dee - Dom's Kids,U.S. Dollar,of $10k goal,(2),8,3%,"Years running
					,
				",3,1
3,200,NEUTER/SPAY FOR 15 EUROS ONLY!,Euro,of €700 goal,(12),3,29%,"Weeks running
					,
				",38,1
25,"2,880",Please help Neda to save dogs from the pound,Australian Dollar,of $3k goal,(43),25,96%,"Weeks running
					,
				",72,20
10,275,Help Nera and Rocky to stay in the pension !,Euro,of €175 goal,(10),10,157%,"Weeks running
					,
				",40,0
2,700,Big Screens for a Big Impact - Help us to reach more people with the Truth!,Pound Sterling,of £700 goal,(1),2,100%,"Weeks running
					,
				",37,0
4,345,A new beginning for Spice...,U.S. Dollar,of $365 goal,(3),4,95%,"Weeks running
					,
				",39,0
16,414,Amera's Essentials - raising the basic amount to care for her cats and dogs,Euro,of €1.1k goal,(1),16,38%,"days left
					,
				",0,0
2,850,Winter Outreach 2018-2019 Matching Fundraiser,U.S. Dollar,of $9.8k goal,(12),2,9%,"Weeks running
					,
				",46,0
1,200,Daphne needs help!!,Canadian Dollar,of $1.5k goal,(6),1,13%,"Weeks running
					,
				",37,3
83,"11,108","The Voiceless Dogs of Pawtcake refuge March, 2019",U.S. Dollar,of $10k goal,(1),83,111%,"days left
					,
				",0,0
8,350,Please help Flora to find her forever home in USA,U.S. Dollar,of $300 goal,(5),8,117%,"days left
					,
				",0,1
33,"1,226",Help For Furries February costs,Euro,of €1.2k goal,(8),33,100%,"Weeks running
					,
				",39,1
3,"8,000",Construction of our permanent Animal Facilities,Philippine Peso,of ₱50k goal,(2),3,16%,"Weeks running
					,
				",65,0
10,415,Boxy is fighting for her life. Please help her!,Euro,of €400 goal,(9),10,104%,"days left
					,
				",0,4
22,905,Haze an Outside Dog Needs Our Help!,U.S. Dollar,of $750 goal,(8),19,121%,"Weeks running
					,
				",36,5
10,365,All for Willow,U.S. Dollar,of $500 goal,(3),10,73%,"days left
					,
				",0,0
68,"2,330",PLEASE HELP ME TO BUY A CAR FOR MY SHELTER,Euro,of €1.9k goal,(2),68,122%,"Years running
					,
				",4,0
18,"1,030",Wyatt's Wish...A Dog In Need,U.S. Dollar,of $5k goal,(4),18,21%,"Weeks running
					,
				",35,0
7,200,Help Nera and Rocky to stay in the pension !,Euro,of €175 goal,(18),7,114%,"Weeks running
					,
				",36,0
44,"3,420",HELP ME LIVE! Petey the Dogo NEEDS life saving/changing SURGERY ASAP! Please!,U.S. Dollar,of $3.7k goal,(19),41,92%,"Weeks running
					,
				",32,18
2,110,Help this little soul,U.S. Dollar,of $3k goal,(3),2,4%,"Weeks running
					,
				",32,0
18,385,Amera's essentials-raising the basic amount to care for her cats & dogs in April,Euro,of €1.1k goal,(2),18,35%,"days left
					,
				",0,2
26,855,Demi Dogs,U.S. Dollar,of $1.5k goal,(1),26,57%,"Weeks running
					,
				",57,0
56,575,Huge kennel debt for March and April! 20 dogs need to stay safe!,Euro,of €955 goal,(26),56,60%,"Weeks running
					,
				",57,4
6,285,"PLEASE help Chappeau & Habib get to Munich, Germany. They deserve the BEST life",Pound Sterling,of £285 goal,(5),6,100%,"Weeks running
					,
				",32,1
9,487,Help Needed for 3 Puppies We’ve Saved,Euro,of €115 goal,(5),9,423%,"Weeks running
					,
				",84,1
83,"8,510",The Amazing Raise 2019: Team House,Canadian Dollar,of $6k goal,(2),83,142%,"days left
					,
				",0,0
15,450,Help us raise Amalia's flight money,Euro,of €450 goal,(5),14,100%,"Weeks running
					,
				",32,3
88,"10,327",The Amazing Raise 2019: Team Shop,Canadian Dollar,of $6k goal,(2),88,172%,"days left
					,
				",0,0
10,210,Hit and run,U.S. Dollar,of $700 goal,(8),9,30%,"Days running
					,
				",198,4
540,"11,486","Please Help Kim, Kato and Kleo",U.S. Dollar,of $30k goal,(4),535,38%,"days left
					,
				",0,2
18,695,URGENT Help Needed For Wagging Tails Rescue: Philippines!!,U.S. Dollar,of $10k goal,(15),18,7%,"Weeks running
					,
				",32,4
26,480,GINGER WAS HIT BY A CAR AND LEFT TO DIE PLS HELP US PAY FOR HIS ONGOING VET CARE,Euro,of €500 goal,(18),26,96%,"Weeks running
					,
				",29,3
12,450,Help Sir Mycroft walk again!,U.S. Dollar,of $3k goal,(7),12,15%,"Days running
					,
				",191,4
207,"15,801",Ingrid's Haven Winter Warmer Appeal 2018,Australian Dollar,of $20k goal,(29),207,79%,"Weeks running
					,
				",78,5
64,"4,506",The Voiceless Dogs of Pawtcake refuge May 2019,U.S. Dollar,of $10k goal,(1),64,45%,"days left
					,
				",0,0
7,220,Jelena Dereta needs your HELP for an invalid stray CLARA!,Euro,of €850 goal,(22),7,26%,"days left
					,
				",0,0
16,180,Tommy's time is here...,U.S. Dollar,of $250 goal,(1),16,72%,"Days running
					,
				",183,0
39,"1,686",Help for Bella Bee ❤️,U.S. Dollar,of $4k goal,(8),38,42%,"Weeks running
					,
				",36,0
8,120,Nera & Rocky need your support !,Euro,of €175 goal,(6),8,69%,"Weeks running
					,
				",32,0
10,240,JULIA THE STRAY CAT WAS FOUND IN AN AWFUL STATE PLEASE HELP US PAY HER VET BILLS,Euro,of €500 goal,(7),9,48%,"Days running
					,
				",172,0
4,500,Please help us get Goose better!,U.S. Dollar,of $4.5k goal,(7),4,11%,"Days running
					,
				",158,0
2,100,"I am literally in the Tom Hanks movie ""The Terminal""",U.S. Dollar,of $150 goal,(5),2,67%,"Days running
					,
				",162,2
44,"5,230",The Voiceless Dogs of Pawtcake refuge June 2019,U.S. Dollar,of $10k goal,(1),44,52%,"days left
					,
				",0,0
33,320,TARGET REACHED! FUNDS RAISED for Hydro Pool for Boris & friends! THANK YOU ALL❤️,Pound Sterling,of £320 goal,(2),25,100%,"Days running
					,
				",159,1
20,654,outstanding emergency loans not raised back,Pound Sterling,of £739 goal,(1),20,88%,"Weeks running
					,
				",70,1
7,115,Leyla's birthday gift- ticket to home!,Euro,of €115 goal,(20),7,100%,"Days running
					,
				",114,1
2,"5,500",Rescuing Dog and Cat caring,Thai Baht,of ฿48k goal,(32),2,11%,"Days running
					,
				",104,10
65,"5,175",GRR Turkish Dogs Rescue Mission - Operation Home,U.S. Dollar,of $5k goal,(13),60,103%,"Years running
					,
				",4,10
12,530,"In honour of ROD, please help Raincoast Dog Rescue",Canadian Dollar,of $1k goal,(9),12,53%,"Days left
					,
				",27,0
66,"4,862",Help Honey prepare for her 2019 tour!,U.S. Dollar,of $8k goal,(8),66,61%,"Weeks running
					,
				",53,6
8,355,rescued cats need help,U.S. Dollar,of $322 goal,(2),8,110%,"days left
					,
				",0,1
8,180,Please help us feed 70+ Egyptian street dogs.,Pound Sterling,of £175 goal,(9),8,103%,"Days running
					,
				",127,1
23,416,Saving Smokey and Inky,Euro,of €476 goal,(34),23,87%,"Weeks running
					,
				",37,3
14,360,Help Moonshadow get the vet care she needs,U.S. Dollar,of $300 goal,(1),14,120%,"Days running
					,
				",97,1
12,260,Urgent funds needed to save Rescued Kitten's leg from amputation currently in Cy,Euro,of €500 goal,(14),11,52%,"Days running
					,
				",103,4
8,565,Ruby needs your help to start her new life in Canada,U.S. Dollar,of $565 goal,(3),8,100%,"Days running
					,
				",96,1
15,535,Surgery for Dinah,U.S. Dollar,of $655 goal,(1),15,82%,"Days running
					,
				",104,1
52,"2,050",Cecilia The Brave!,U.S. Dollar,of $20k goal,(95),52,10%,"Days left
					,
				",58,17
11,925,Save El Gato! Help raise 50% of his blocked bladder bill,Canadian Dollar,of $1.1k goal,(2),11,80%,"days left
					,
				",0,1
28,"1,713",Help For Furries June costs,Euro,of €1.7k goal,(12),28,100%,"Days running
					,
				",188,0
51,"1,400",Lee's 10 Country European Cycle Challenge in aid of The Sirius Dog Sanctuary,Euro,of €5k goal,(4),50,28%,"Weeks running
					,
				",42,0
5,900,Help BARK continue to rescue dogs,U.S. Dollar,of $6k goal,(18),5,15%,"Weeks left
					,
				",32,1
22,"5,885",Help Moonracer Rescue Pets,U.S. Dollar,of $1k goal,(2),18,589%,"Years running
					,
				",4,1
22,"1,005",The Odd Cat's vet bills,Australian Dollar,of $1k goal,(1),21,100%,"Days running
					,
				",147,0
10,590,Will you please HELP us get Murray walking again,U.S. Dollar,of $3k goal,(19),9,20%,"Days running
					,
				",132,4
11,305,10 kittens need help,Euro,of €280 goal,(9),11,109%,"Days running
					,
				",144,0
6,625,Please help with Binx medical Expenses for his vet bills,U.S. Dollar,of $3.5k goal,(3),6,18%,"days left
					,
				",0,1
3,100,Little Red - The Piglet Who Refused to be Ditched,Canadian Dollar,of $4k goal,(1),3,3%,"days left
					,
				",0,0
19,340,HELP US TO BUILD A SHELTER FOR OUR RESCUED ANIMALS,U.S. Dollar,of $5k goal,(1),18,7%,"Years running
					,
				",3,0
6,490,"Amanda's Birthday Fundraiser for Potcake Puppy Palace, Nassau Bahamas",U.S. Dollar,of $3.6k goal,(12),6,14%,"days left
					,
				",0,0
15,320,120+ Cat Shelter Felix Cats and Kittens Need Help Urgently!,U.S. Dollar,of $2.8k goal,(20),15,11%,"Days running
					,
				",76,1
1,100,Please help Oreo and Cloud go to the vet,U.S. Dollar,of $260 goal,(6),1,38%,"Weeks left
					,
				",56,3
8,240,Multipurpose Service Dog for Neve,U.S. Dollar,of $10k goal,(4),7,2%,"Days running
					,
				",45,6
25,729,Help Stop Cats Suffering,Euro,of €776 goal,(13),25,94%,"Weeks running
					,
				",54,2
225,"9,177",Marshall County Animal Shelter,U.S. Dollar,of $10k goal,(1),216,92%,"Years running
					,
				",7,0
14,730,DOLLY HAS A DOUBLE HERNIA AND NEEDS IMMEDIATE SURGERY PLEASE HELP WITH VET COSTS,Euro,of €890 goal,(19),13,82%,"Days running
					,
				",49,5
3,170,Warm Hugs for the homeless and their pets,U.S. Dollar,of $1k goal,(2),3,17%,"Days running
					,
				",26,0
12,490,Getting Tula to Recovery,U.S. Dollar,of $1.5k goal,(1),12,33%,"Days running
					,
				",41,0
8,410,HELP SAVE AN ANIMALS LIFE DONATE TO MISS PATS CATS,U.S. Dollar,of $5k goal,(3),8,8%,"Years running
					,
				",3,1
12,200,Loza finds a home after 2years waiting,Euro,of €200 goal,(9),12,100%,"Days running
					,
				",49,2
3,100,Jack’s New Foot,U.S. Dollar,of $5k goal,(4),2,2%,"Days running
					,
				",63,0
3,252,Operation Bichon Lift - Rescue Fund,U.S. Dollar,of $3.5k goal,(6),3,7%,"Days running
					,
				",69,1
6,110,Pleaseee help us to cover their vet expenses!!,Euro,of €240 goal,(1),6,46%,"Days running
					,
				",64,0
19,475,For the love of a best friend. Can you donate just $5 or $10?,U.S. Dollar,of $15k goal,(15),19,3%,"Days running
					,
				",54,4
39,"2,828",NOÉ  - Rescue Team,Euro,of €2k goal,(11),38,141%,"Years running
					,
				",7,1
9,142,"Strays from Odžaci,Serbia, need your help!",Euro,of €3.5k goal,(43),9,4%,"Days running
					,
				",136,6
196,"2,693",HELP FIND OUR BOY KEMO! He is vulnerable & scared!,Pound Sterling,of £4k goal,(11),189,67%,"Weeks running
					,
				",90,3
36,"2,333",Help feed Miss Piggy and her friends!,U.S. Dollar,of $20k goal,(1),35,12%,"Years running
					,
				",7,0
24,345,Bosnian rescuer Dzanela Lojo is fighting for her life but we must help her dogs,Euro,of €2k goal,(5),19,17%,"Days running
					,
				",64,3
221,"7,715",Help Save Donkey's From Mass Slaughter,U.S. Dollar,of $20k goal,(145),212,39%,"Weeks running
					,
				",107,129
26,613,A Flower for Canada,U.S. Dollar,of $610 goal,(1),26,100%,"Days running
					,
				",65,0
9,120,HELP US KEEP THE DOGS SAFE,Euro,of €780 goal,(18),9,15%,"Days running
					,
				",51,0
36,"1,850",Help For Furries September costs,Euro,of €1.8k goal,(19),36,103%,"Days running
					,
				",51,0
32,"2,551",Help Nowzad get Ms Miracle from Afghanistan to the USA!,U.S. Dollar,of $3.5k goal,(2),32,73%,"Days running
					,
				",102,0
8,270,Help them for winter: Srećko the dog and his friends need insulated kennels,Euro,of €1.1k goal,(19),8,25%,"Days running
					,
				",34,2
7,150,Tesla The Monster Cat Needs Your Help!,U.S. Dollar,of $3.7k goal,(7),7,4%,"Days left
					,
				",8,9
116,"5,142",Give'em their Life back: Taiz/ Ibb Zoo Lions!,Euro,of €15k goal,(625),109,34%,"Years running
					,
				",3,67
9,515,Help to make it a Happy Christmas at the Kantou shelter,Euro,of €1.2k goal,(4),9,43%,"Days left
					,
				",31,1
6,165,Rescued dogs in run-down shelter need URGENT vet care - please help!,Euro,of €500 goal,(7),6,33%,"Days left
					,
				",6,4
3,"9,000",Ayudemos a Sofia a pagar su perro de Asistencia para Autismo.,Mexican Peso,of $40k goal,(3),3,23%,"Days left
					,
				",172,0
16,120,A home for ghalbana,Euro,of €200 goal,(4),16,60%,"Days running
					,
				",36,1
69,"2,281",Demi's Place of Promise,U.S. Dollar,of $2.6k goal,(2),69,88%,"Weeks running
					,
				",78,0
22,920,Please help me fight FIP! I want to live!,Euro,of €2k goal,(12),22,46%,"Days left
					,
				",17,6
38,847,"Saving Peony, Trixie, Fanta and Dave from the horrors of Bosnia",Euro,of €1k goal,(11),37,83%,"Weeks running
					,
				",39,0
44,"1,028",Help Friends of Larnaca Cats pay our vets bills,Euro,of €5k goal,(18),43,21%,"Days left
					,
				",10,8
108,"14,277","This #GivingTuesday, help BDAR build a spay & neuter clinic!",U.S. Dollar,of $5k goal,(12),107,286%,"Days running
					,
				",12,1
54,"1,813",Happy Tails Srebrenica,U.S. Dollar,of $25k goal,(28),54,7%,"Days left
					,
				",27,3
131,"328,665",Animal Rescue New Orleans: New Building Fund,U.S. Dollar,of $1.5M goal,(2),130,22%,"Weeks running
					,
				",29,0
8,300,Please Help Me Save Adrienne,U.S. Dollar,of $1k goal,(4),8,30%,"Weeks running
					,
				",66,3
7,470,Please help us pay for Gidget’s surgery!,Canadian Dollar,of $2k goal,(5),7,24%,"Weeks running
					,
				",65,3
9,125,Marmalade and pups need to be kept safe,Pound Sterling,of £483 goal,(1),9,26%,"Weeks running
					,
				",64,0
3,596,Please help Mimi!,Canadian Dollar,of $2.5k goal,(5),3,24%,"Weeks running
					,
				",75,3
50,"1,298",URGENT HELP FOR COSTA!!!!,U.S. Dollar,of $3k goal,(6),48,43%,"days left
					,
				",0,4
11,289,Puppy Bianka was shot twice and left to DIE,Canadian Dollar,of $225 goal,(13),11,128%,"Weeks running
					,
				",80,2
6,418,May Rent for Shelter,Euro,of €500 goal,(1),6,84%,"Weeks running
					,
				",80,0
15,659,Please Help Us Pay For Max's Surgery!,U.S. Dollar,of $3.8k goal,(4),13,17%,"Weeks running
					,
				",97,2
6,330,Wildlife Rehab Animal Sanctuary,U.S. Dollar,of $2k goal,(2),6,17%,"Years running
					,
				",8,0
41,"1,620","Teddy, Jax and Jemima's great Welsh Tattoo Journey",Pound Sterling,of £1k goal,(15),41,162%,"Weeks running
					,
				",94,0
20,"1,110","Moose, the Rottweiler",U.S. Dollar,of $1.8k goal,(8),20,62%,"Years running
					,
				",3,3
15,515,Animal Love Project Monterrey,U.S. Dollar,of $2k goal,(9),15,26%,"Weeks running
					,
				",105,5
17,"26,850",Khun Meow's sanctuary,Thai Baht,of ฿30k goal,(72),17,90%,"days left
					,
				",0,29
32,765,A Two Day Hike To Help Pepi's!,Euro,of €1k goal,(1),30,77%,"Years running
					,
				",6,1
1,200,Help save Brandy!,U.S. Dollar,of $200 goal,(1),1,100%,"Years running
					,
				",2,0
27,"1,515",Please help us pay for Sheba's emergency vet costs,Canadian Dollar,of $2.5k goal,(5),27,61%,"days left
					,
				",0,5
11,405,Rent for the PUP:Rehabilitation Center,U.S. Dollar,of $3.8k goal,(12),11,11%,"Years running
					,
				",3,1
40,"3,050",Rescue Pig Project,Canadian Dollar,of $3k goal,(13),40,102%,"days left
					,
				",0,7
3,200,American Cream Draft Horse - Critically Endangered,U.S. Dollar,of $8.9k goal,(1),3,2%,"Years running
					,
				",3,0
36,"1,422",AARF Kennel Transformation,U.S. Dollar,of $60k goal,(1),36,2%,"Years running
					,
				",3,2
27,"5,365",Walk For Ontario Farm Sanctuaries: YOU can help,Canadian Dollar,of $20k goal,(4),26,27%,"days left
					,
				",0,5
9,340,Daisy's Knee Surgery,U.S. Dollar,of $1.7k goal,(4),9,20%,"Years running
					,
				",2,5
20,"1,120",Emergency hay Fund due to medical expenses,U.S. Dollar,of $6k goal,(1),20,19%,"Years running
					,
				",2,1
3,100,"#GIVINGTUESDAY with Sloppy Seconds, Inc.",U.S. Dollar,of $500 goal,(1),3,20%,"Years running
					,
				",4,0
3,100,Help save a dying kitten!,U.S. Dollar,of $130 goal,(1),2,77%,"days left
					,
				",0,0
4,350,MRI For Tucker,Canadian Dollar,of $3.4k goal,(3),4,10%,"days left
					,
				",0,3
13,365,Care for the Kakapo,U.S. Dollar,of $355 goal,(2),13,103%,"Years running
					,
				",2,0
3,250,For the safety of my dogs,U.S. Dollar,of $5.3k goal,(2),3,5%,"Years running
					,
				",2,2
16,575,Strawberry Mountain Annual Hay Drive,U.S. Dollar,of $2k goal,(1),14,29%,"Years running
					,
				",6,0
3,685,Help Save the Lucy!,U.S. Dollar,of $700 goal,(1),3,98%,"Years running
					,
				",2,0
1,250,Help save Charlie,U.S. Dollar,of $600 goal,(1),1,42%,"Years running
					,
				",2,0
1,250,Help save Boston!,U.S. Dollar,of $250 goal,(1),1,100%,"Years running
					,
				",2,0
1,200,Help save Sadie,U.S. Dollar,of $300 goal,(1),1,67%,"Years running
					,
				",2,0
1,250,Help save Simon!,U.S. Dollar,of $280 goal,(1),1,89%,"Years running
					,
				",2,0
4,115,Homeless Cats Need Your Help!,U.S. Dollar,of $1.5k goal,(3),4,8%,"Years running
					,
				",2,1
17,880,Please Help Me Get Lola Much Needed Care!,U.S. Dollar,of $1.2k goal,(1),16,73%,"days left
					,
				",0,0
17,"1,735","Andy, Amos, and Ophelia- Street dogs in Corsicana",U.S. Dollar,of $3k goal,(5),16,58%,"days left
					,
				",0,2
13,270,Help us save this dog! A220776,U.S. Dollar,of $250 goal,(1),13,108%,"days left
					,
				",0,0
67,"189,900",Paws for the Cause,Thai Baht,of ฿150k goal,(6),65,127%,"days left
					,
				",0,5
18,281,$2 for Roo - Roozer Brewz Veterinary/Medical Fund,U.S. Dollar,of $10k goal,(1),18,3%,"Years running
					,
				",4,0
7,155,Help Save Karma!,U.S. Dollar,of $150 goal,(1),7,103%,"days left
					,
				",0,0
15,740,Athena has cancer: Help Marcy pay for treatment!,U.S. Dollar,of $1k goal,(1),13,74%,"Years running
					,
				",2,0
5,330,Wheel chairs for abandoned dogs.,U.S. Dollar,of $300 goal,(2),5,110%,"Years running
					,
				",2,1
